alcohol;sulphates;volatile acidity;citric acid;residual sugar;pH;quality
10.3;0.87;0.22;0.24;2.1;3.41;6
9.4;0.57;0.63;0.24;2.4;3.09;5
10.7;0.77;0.825;0.24;2.1;3.37;6
12.0;0.66;0.35;0.49;5.8;3.2;7
11.2;0.62;0.5;0.74;5.15;3.22;5
9.6;0.67;0.59;0.24;3.3;3.26;5
11.0;0.73;0.46;0.49;6.3;3.21;6
9.9;0.59;0.715;0.24;2.1;3.12;5
11.0;0.72;0.66;0.24;2.5;3.06;6
8.4;0.79;0.31;0.74;1.8;2.86;6
9.1;0.59;0.47;0.49;2.6;3.08;5
9.5;0.78;0.55;0.24;2.0;3.45;6
10.7;0.86;0.31;0.49;2.5;3.26;6
10.4;0.75;0.35;0.49;2.6;3.12;6
9.4;0.61;0.53;0.49;1.9;3.27;6
9.5;0.56;0.51;0.01;2.1;3.33;6
10.0;0.73;0.43;0.24;2.8;3.19;6
10.0;0.74;0.46;0.24;2.7;3.12;6
11.5;0.62;1.04;0.24;1.6;3.74;5
11.1;0.74;0.645;0.49;4.2;2.92;5
11.1;0.74;0.645;0.49;4.2;2.92;5
11.7;0.56;0.53;0.49;4.6;3.07;6
11.1;0.74;0.645;0.49;4.2;2.92;5
11.7;0.56;0.53;0.49;4.6;3.07;6
12.7;0.68;0.47;0.49;4.3;3.3;6
11.4;0.57;0.6;0.49;2.8;3.14;5
9.2;0.58;0.44;0.49;2.4;3.23;5
9.2;0.61;0.54;0.49;2.9;3.08;5
10.1;0.61;0.29;0.49;2.7;3.31;6
12.7;0.68;0.47;0.49;4.3;3.3;6
11.4;0.57;0.6;0.49;2.8;3.14;5
9.0;0.6;0.7;0.24;2.5;3.32;6
9.0;0.6;0.7;0.24;2.5;3.32;6
10.7;0.79;0.5;0.49;2.6;3.31;6
11.7;0.57;0.36;0.24;2.2;3.57;6
11.0;0.91;0.35;0.49;3.3;3.32;6
11.7;0.57;0.36;0.24;2.2;3.57;6
10.4;0.61;0.24;0.49;2.4;3.14;5
9.6;0.56;0.59;0.49;2.1;3.3;4
10.0;0.7;0.34;0.49;3.2;3.19;6
10.2;0.8;0.27;0.49;3.1;3.2;6
10.0;0.52;0.5;0.24;2.3;3.34;4
9.5;0.6;0.44;0.49;2.8;3.3;5
9.8;0.6;0.47;0.49;2.9;3.29;5
9.8;0.51;0.31;0.49;2.2;3.14;6
9.6;0.44;0.5;0.49;2.2;3.19;5
9.6;0.44;0.5;0.49;2.2;3.19;5
9.2;0.43;0.49;0.49;2.2;3.19;5
9.9;0.66;0.28;0.49;1.9;2.98;7
10.7;0.76;0.33;0.49;3.4;3.3;7
9.6;0.66;0.51;0.24;2.4;3.47;6
10.6;1.02;0.31;0.49;2.7;3.12;7
9.3;0.59;0.73;0.24;1.9;3.26;5
14.0;0.74;0.42;0.24;2.0;3.72;8
10.5;0.74;0.29;0.49;2.6;3.05;7
9.7;0.57;0.45;0.49;2.6;3.35;5
11.5;0.5;0.39;0.49;1.7;3.12;6
9.7;0.57;0.45;0.49;2.6;3.35;5
9.0;0.58;0.49;0.58;3.5;3.29;5
9.5;0.53;0.72;0.17;2.6;3.4;5
9.3;0.57;0.595;0.41;7.9;3.27;5
9.3;0.6;0.4;0.51;2.0;3.04;6
10.0;0.63;0.58;0.58;1.9;3.09;6
9.8;0.48;0.585;0.18;2.1;3.2;6
9.3;0.7;0.59;0.45;2.3;3.0;6
10.0;0.47;0.915;0.27;2.1;3.26;4
9.0;0.56;0.46;0.52;2.2;3.1;6
9.3;0.52;0.835;0.0;2.6;3.3;5
9.0;0.56;0.46;0.52;2.2;3.1;6
9.1;0.62;0.58;0.13;2.9;3.17;6
9.2;0.59;0.6;0.13;2.6;3.31;6
12.2;0.79;0.41;0.48;4.6;3.34;7
10.5;0.53;0.48;0.41;3.3;3.31;6
10.4;0.64;0.65;0.37;5.1;3.32;6
12.7;0.52;0.36;0.19;3.2;3.56;6
9.2;0.54;0.24;0.54;2.5;3.39;5
9.4;0.54;0.38;0.55;2.7;2.98;5
10.0;0.6;0.64;0.0;2.4;3.32;6
9.8;0.74;0.39;0.38;1.5;3.26;5
10.2;1.36;0.755;0.18;2.2;2.87;6
9.7;0.57;0.6;0.5;2.3;3.5;5
9.7;0.57;0.6;0.5;2.3;3.5;5
9.8;0.93;0.31;0.51;2.2;3.03;6
10.2;0.7;0.46;0.5;2.7;3.13;5
9.3;0.8;0.37;0.41;2.3;3.09;5
9.4;0.61;0.54;0.24;3.4;3.27;5
9.4;0.62;0.56;0.23;3.4;3.28;5
9.5;0.55;0.58;0.22;1.9;3.13;5
12.1;0.96;0.51;0.25;2.9;3.49;6
10.2;0.72;0.69;0.0;5.6;3.46;5
10.2;0.72;0.69;0.0;5.6;3.46;5
9.1;0.49;0.6;0.29;2.2;3.36;5
9.1;0.49;0.6;0.29;2.2;3.36;5
9.3;0.6;0.54;0.26;2.5;3.27;6
9.3;0.61;0.685;0.23;2.3;3.21;5
9.3;0.6;0.54;0.26;2.5;3.27;6
9.5;0.63;0.28;0.54;2.7;3.25;5
10.5;0.57;0.41;0.14;3.0;3.32;6
11.3;0.64;0.935;0.22;3.4;3.43;4
9.5;0.58;0.35;0.21;1.9;3.27;5
9.7;0.55;0.84;0.0;1.4;3.27;5
9.4;0.53;0.88;0.28;2.4;3.24;5
9.4;0.53;0.885;0.27;2.3;3.24;5
10.2;0.65;0.915;0.12;2.2;3.35;7
10.3;1.36;0.29;0.35;1.9;3.18;6
9.4;0.62;0.54;0.45;2.3;3.39;5
9.5;0.63;0.59;0.44;2.3;3.46;5
9.4;0.62;0.54;0.45;2.3;3.39;5
9.5;0.63;0.59;0.44;2.3;3.46;5
9.4;0.62;0.54;0.45;2.3;3.39;5
10.1;0.69;0.64;0.1;6.0;3.37;7
10.1;0.63;0.67;0.05;3.6;3.4;5
11.0;0.58;0.845;0.01;2.2;3.32;4
11.2;0.67;0.48;0.3;2.8;3.33;7
11.3;0.57;0.42;0.27;8.6;3.16;6
9.6;0.5;0.43;0.39;2.2;2.89;5
11.2;0.67;0.88;0.25;2.5;3.41;5
14.9;0.84;0.36;0.65;7.5;2.98;5
12.0;0.54;0.33;0.59;2.8;3.12;6
9.5;0.46;0.47;0.47;2.4;3.08;5
9.4;0.61;0.55;0.17;2.9;3.14;5
9.6;0.5;0.43;0.39;2.2;2.89;5
10.5;0.68;0.5;0.59;1.4;2.92;7
9.6;0.81;0.52;0.07;1.4;3.32;6
11.0;0.57;0.84;0.02;4.4;3.41;4
9.6;0.81;0.52;0.07;1.4;3.32;6
9.0;0.64;0.42;0.31;1.6;3.31;5
9.6;0.7;0.57;0.06;1.6;3.36;6
10.2;0.79;0.28;0.46;1.8;3.04;6
10.2;0.66;0.4;0.52;2.0;3.03;5
9.7;0.56;0.59;0.14;2.0;3.14;5
9.5;0.6;0.49;0.36;1.8;3.18;6
9.2;0.66;0.34;0.45;2.0;2.94;6
11.0;0.57;0.73;0.43;2.3;3.15;5
9.2;0.66;0.34;0.45;2.0;2.94;6
10.0;0.58;0.4;0.24;2.5;3.26;5
9.5;0.52;0.73;0.21;1.7;3.2;5
9.5;0.53;1.24;0.34;2.0;3.15;5
9.5;0.52;0.73;0.21;1.7;3.2;5
9.3;0.67;0.4;0.41;2.2;3.08;6
10.2;0.65;0.41;0.39;2.2;3.26;5
9.3;0.67;0.4;0.41;2.2;3.08;6
9.9;0.48;0.8;0.11;2.3;3.4;5
10.0;0.53;0.78;0.1;2.6;3.48;5
9.6;0.54;0.26;0.45;3.3;3.13;5
9.0;0.49;0.43;0.58;1.9;3.06;5
10.2;0.49;0.45;0.23;2.2;3.21;6
9.8;0.54;0.46;0.31;2.25;3.33;5
11.3;0.56;0.78;0.23;2.6;3.37;5
9.4;0.48;0.98;0.32;2.3;3.25;5
11.3;0.56;0.78;0.23;2.6;3.37;5
9.1;0.6;0.65;0.18;1.8;3.44;5
9.7;0.59;0.64;0.23;3.1;3.28;5
9.4;0.47;0.66;0.04;1.6;3.4;5
9.4;1.05;0.38;0.48;1.8;3.3;5
10.7;0.54;1.185;0.0;4.25;3.63;3
9.8;0.54;0.92;0.24;2.6;3.48;5
9.0;1.17;0.49;0.51;2.0;3.03;5
9.4;0.62;0.48;0.32;2.8;3.32;5
9.4;0.61;0.47;0.31;2.7;3.31;5
12.8;0.62;0.47;0.02;1.3;3.9;6
9.5;0.67;0.65;0.02;2.1;3.47;6
9.5;0.67;0.65;0.02;2.1;3.47;6
9.7;0.53;0.615;0.28;3.2;3.31;5
10.8;0.62;0.38;0.55;2.1;3.11;6
10.1;0.57;1.02;0.43;2.9;3.08;6
9.5;0.67;0.65;0.02;2.1;3.47;6
9.4;0.67;0.64;0.02;2.1;3.47;6
9.6;0.7;0.38;0.48;2.6;3.32;4
9.7;0.54;0.765;0.04;1.6;3.29;4
9.9;0.49;1.035;0.15;6.0;3.37;5
10.0;0.47;0.78;0.08;2.0;3.4;5
10.5;0.51;0.49;0.19;3.0;3.37;5
11.6;0.61;0.545;0.12;2.5;3.34;6
10.0;0.66;0.31;0.47;1.6;3.27;6
10.1;0.57;1.025;0.43;2.8;3.06;5
9.5;0.61;0.565;0.34;3.0;3.38;5
9.4;0.45;0.69;0.0;3.2;3.36;5
9.4;0.46;0.43;0.36;2.3;3.34;5
9.8;0.51;0.74;0.28;2.6;3.28;5
9.2;0.48;0.49;0.18;2.7;3.29;6
9.4;0.46;0.43;0.36;2.3;3.34;5
10.0;0.57;0.46;0.11;2.6;3.21;5
9.6;0.44;0.56;0.04;2.0;3.22;5
9.5;0.54;0.66;0.0;3.9;3.46;5
9.6;0.44;0.56;0.04;2.0;3.22;5
9.2;0.53;0.48;0.24;2.85;3.1;5
10.0;0.59;0.42;0.08;2.7;3.21;5
9.5;1.62;0.31;0.3;2.2;2.94;5
11.2;0.6;1.115;0.1;3.1;3.54;4
10.4;0.55;0.66;0.17;3.0;3.29;5
11.1;0.72;0.72;0.09;2.8;3.43;6
9.5;0.68;0.57;0.02;1.8;3.46;5
9.5;0.68;0.57;0.02;1.8;3.46;5
12.7;0.49;0.865;0.03;3.2;3.61;6
9.6;0.67;0.55;0.66;2.3;3.17;5
11.5;0.52;0.875;0.13;3.45;3.44;5
9.6;0.47;0.835;0.03;2.1;3.39;5
9.5;0.6;0.45;0.34;2.7;3.55;5
9.3;0.62;0.56;0.2;2.0;3.48;5
9.5;0.5;0.965;0.1;2.1;3.26;5
9.5;0.5;0.965;0.1;2.1;3.26;5
9.3;0.65;0.59;0.0;2.5;3.5;6
9.2;0.56;0.46;0.23;2.8;3.1;5
9.3;0.6;0.69;0.0;2.4;3.35;5
11.5;0.68;0.76;0.29;4.2;3.45;6
9.5;0.57;0.53;0.24;2.6;3.21;5
9.2;0.65;0.615;0.0;1.9;3.46;5
10.0;0.53;0.41;0.58;2.8;3.13;5
9.5;0.51;0.39;0.54;2.7;3.13;5
9.5;0.73;0.51;0.18;2.1;3.52;6
9.0;0.47;0.34;0.38;2.5;3.3;6
9.4;0.48;0.33;0.4;2.6;3.3;5
9.6;0.72;0.5;0.18;2.1;3.52;6
9.5;0.73;0.51;0.18;2.1;3.52;6
9.5;0.55;0.65;0.1;2.9;3.29;5
9.5;0.55;0.65;0.1;2.9;3.29;5
9.4;0.61;0.54;0.13;2.5;3.39;5
9.5;0.55;0.65;0.1;2.9;3.29;5
9.1;1.06;0.48;0.68;1.7;3.09;6
10.7;0.43;0.91;0.07;1.9;3.51;6
11.2;0.46;0.98;0.01;2.0;3.6;6
9.8;0.5;0.87;0.0;2.2;3.25;5
9.8;0.5;0.87;0.0;2.2;3.25;5
9.2;0.52;0.42;0.21;2.5;3.19;5
9.7;0.57;0.58;0.25;2.8;3.23;5
9.6;0.42;0.655;0.26;2.0;3.25;5
10.0;0.53;0.7;0.0;1.7;3.31;6
9.6;0.42;0.655;0.26;2.0;3.25;5
9.5;0.55;0.68;0.11;2.8;3.31;6
9.5;0.54;0.67;0.1;3.0;3.31;6
9.4;0.54;0.59;0.18;2.9;3.14;5
9.5;0.62;0.6;0.32;2.7;3.45;5
9.7;0.53;0.59;0.02;2.3;3.55;6
9.6;0.54;0.72;0.01;1.9;3.39;5
9.7;0.53;0.59;0.02;2.3;3.55;6
9.4;0.55;0.685;0.26;2.4;3.28;5
9.4;0.55;0.57;0.27;2.3;3.27;5
9.5;0.92;0.4;0.29;1.8;3.3;6
9.5;0.91;0.4;0.3;1.8;3.31;6
10.0;0.46;1.0;0.0;3.0;3.43;5
10.3;0.6;0.765;0.18;2.4;3.4;6
10.3;0.59;0.635;0.17;2.4;3.4;6
10.5;0.61;0.43;0.3;3.4;3.36;5
9.8;0.6;0.52;0.03;2.6;3.5;5
9.4;0.6;0.57;0.0;2.0;3.31;6
9.8;0.65;0.46;0.14;2.4;3.66;5
10.0;0.53;0.82;0.05;2.4;3.36;5
9.8;0.65;0.46;0.14;2.4;3.66;5
9.8;0.59;0.59;0.01;2.5;3.55;5
9.5;0.5;0.35;0.41;2.3;3.21;5
9.5;0.5;0.35;0.41;2.3;3.21;5
10.1;0.56;0.56;0.24;2.2;3.18;6
10.1;0.56;0.56;0.24;2.2;3.18;6
9.3;0.52;0.63;0.17;2.9;3.09;5
9.7;0.68;0.37;0.43;2.6;3.33;6
9.6;0.54;0.64;0.17;2.9;3.23;5
9.7;0.6;0.61;0.02;2.5;3.48;6
10.8;0.56;0.6;0.0;2.6;3.38;5
12.5;0.53;0.27;0.54;2.3;3.17;6
10.2;1.18;0.89;0.3;2.6;2.99;5
9.6;0.74;0.46;0.31;2.5;3.1;5
10.8;0.81;0.37;0.44;1.6;3.24;7
10.7;0.52;0.5;0.34;3.6;3.29;6
10.7;0.52;0.5;0.34;3.6;3.29;6
9.4;0.51;0.61;0.08;4.0;3.25;5
10.0;0.44;0.55;0.09;3.3;3.23;5
12.9;0.94;0.585;0.0;1.7;3.56;7
9.6;0.66;0.56;0.08;2.5;3.24;6
9.9;0.57;0.52;0.22;2.7;3.26;6
12.8;0.7;0.28;0.4;2.4;3.33;7
12.5;0.71;0.25;0.39;2.0;3.27;7
12.8;0.7;0.28;0.4;2.4;3.33;7
9.2;0.86;0.53;0.12;1.9;3.26;5
10.3;0.55;0.48;0.31;2.8;3.22;6
10.5;0.47;0.49;0.1;2.6;3.3;5
10.9;0.68;0.5;0.55;2.8;3.09;6
10.8;0.71;0.45;0.33;2.5;3.24;5
11.4;0.58;0.39;0.24;2.1;3.44;4
11.3;0.76;0.41;0.54;2.8;3.21;6
10.8;0.71;0.45;0.33;2.5;3.24;5
10.5;0.58;0.51;0.19;3.2;3.23;6
11.9;0.73;0.29;0.42;1.6;3.28;6
9.4;0.45;0.715;0.0;2.35;3.29;5
9.6;0.54;0.66;0.15;3.2;3.28;5
9.7;0.6;0.685;0.0;1.9;3.34;5
14.0;0.74;0.42;0.0;2.1;3.71;7
9.8;0.64;0.54;0.13;2.0;3.61;5
9.8;0.64;0.54;0.13;2.0;3.61;5
10.3;0.53;0.48;0.28;2.8;3.24;5
10.7;0.49;0.46;0.14;2.8;3.36;5
11.0;0.64;0.27;0.34;2.3;3.4;7
10.7;0.49;0.46;0.14;2.8;3.36;5
12.7;0.74;0.57;0.09;2.3;3.46;8
11.1;0.77;0.61;0.08;2.1;3.56;6
10.9;0.55;0.685;0.07;2.5;3.38;4
11.1;0.77;0.61;0.08;2.1;3.56;6
9.9;0.86;0.44;0.42;1.5;3.38;3
9.9;0.86;0.47;0.44;1.6;3.38;4
9.4;0.47;0.685;0.26;1.6;3.32;5
9.3;0.51;0.665;0.1;1.5;3.39;5
11.7;0.39;0.28;0.28;2.4;3.26;7
11.7;0.39;0.28;0.28;2.4;3.26;7
11.2;0.83;0.31;0.35;1.6;3.24;7
10.0;0.47;0.5;0.04;2.2;3.46;5
12.1;0.77;0.42;0.47;2.65;3.24;7
10.3;0.63;0.66;0.0;3.0;3.45;5
10.9;0.72;0.5;0.45;2.6;3.23;6
9.4;0.62;0.685;0.35;2.0;3.28;5
10.6;0.83;0.25;0.46;1.7;3.18;6
9.8;0.66;0.64;0.21;1.8;3.59;5
9.8;0.66;0.64;0.21;1.8;3.59;5
9.9;0.7;0.68;0.16;1.8;3.5;6
9.8;0.66;0.64;0.21;1.8;3.59;5
9.8;0.66;0.63;0.21;1.6;3.58;5
9.5;0.55;0.43;0.44;1.9;3.28;5
9.5;0.55;0.43;0.44;1.9;3.28;5
9.7;1.07;0.42;0.32;2.5;3.22;5
10.9;0.73;0.36;0.39;1.5;3.47;6
10.9;0.73;0.36;0.39;1.5;3.47;6
11.7;0.71;0.735;0.02;2.5;3.51;7
10.9;0.73;0.36;0.39;1.5;3.47;6
11.3;0.78;0.26;0.34;2.5;3.4;7
10.6;0.67;0.28;0.47;1.7;3.15;7
11.2;0.82;0.56;0.22;1.8;3.4;6
9.5;0.54;0.62;0.06;2.7;3.51;5
11.5;0.6;1.01;0.66;2.0;3.66;6
10.4;0.44;0.42;0.32;2.7;3.24;5
9.7;0.53;0.62;0.06;2.5;3.51;5
9.5;0.54;0.62;0.06;2.7;3.51;5
9.7;0.54;0.635;0.07;2.6;3.51;5
11.3;0.83;0.49;0.22;2.3;3.41;6
11.2;0.84;0.51;0.23;2.0;3.4;6
11.2;0.82;0.56;0.22;1.8;3.4;6
10.9;0.64;0.63;0.03;2.0;3.44;6
11.8;0.57;0.715;0.01;2.1;3.41;6
10.6;0.57;0.56;0.03;1.5;3.53;5
10.0;0.54;0.35;0.24;2.0;3.43;4
11.1;0.58;0.21;0.37;1.6;3.23;7
11.8;0.65;0.38;0.46;2.1;3.12;7
11.8;0.79;0.31;0.4;2.8;3.31;7
10.9;0.58;0.47;0.0;2.2;3.4;4
11.8;0.57;0.715;0.01;2.1;3.41;6
10.0;0.5;0.61;0.19;4.0;3.22;6
9.5;0.55;0.6;0.04;2.5;3.53;5
9.9;0.49;0.56;0.18;1.6;3.15;5
11.4;0.65;0.715;0.0;2.1;3.48;6
12.0;0.78;0.31;0.29;3.1;3.22;6
9.5;0.55;0.6;0.04;2.5;3.53;5
10.0;0.5;0.61;0.19;4.0;3.22;6
10.5;0.64;0.75;0.14;2.5;3.34;5
10.4;0.65;0.8;0.12;2.4;3.33;6
12.1;0.79;0.52;0.38;2.6;3.15;7
11.2;0.56;0.57;0.0;2.5;3.43;6
9.3;0.68;0.9;0.34;6.6;3.22;5
10.1;0.58;0.34;0.24;2.0;3.44;5
9.7;0.57;0.66;0.03;2.3;3.53;5
9.3;0.65;0.45;0.23;1.9;3.22;6
9.7;0.57;0.66;0.03;2.3;3.53;5
9.8;0.58;0.63;0.03;2.2;3.53;6
10.7;0.58;0.59;0.01;2.3;3.42;6
12.5;0.77;0.31;0.39;2.4;3.31;7
10.7;0.58;0.59;0.01;2.3;3.42;6
12.5;0.77;0.31;0.39;2.4;3.31;7
11.0;0.49;1.02;0.02;3.4;3.48;3
11.8;0.69;0.31;0.36;2.6;3.4;5
10.8;0.69;0.635;0.1;2.4;3.58;7
10.8;0.69;0.635;0.1;2.4;3.58;7
10.8;0.59;0.59;0.06;6.0;3.41;7
10.8;0.59;0.59;0.06;6.0;3.41;7
9.5;0.59;0.58;0.2;3.0;3.23;5
11.0;0.71;0.54;0.27;2.6;3.39;5
11.5;0.54;0.56;0.0;2.2;3.59;6
10.8;0.59;0.52;0.13;2.4;3.43;6
11.5;0.52;0.305;0.39;1.2;3.29;6
13.2;0.57;0.38;0.48;3.8;3.23;6
10.9;0.6;0.28;0.46;9.0;3.18;6
12.2;0.62;0.46;0.44;2.9;3.33;6
12.2;0.64;0.395;0.46;4.6;3.27;7
11.5;0.52;0.305;0.39;1.2;3.29;6
11.9;0.67;0.315;0.4;2.2;3.27;6
11.0;0.61;0.715;0.19;1.5;3.62;5
10.1;0.64;0.41;0.31;8.8;3.38;6
11.0;0.72;0.36;0.32;2.2;3.3;6
11.8;0.89;0.62;0.12;1.8;3.38;6
10.5;0.56;0.41;0.37;2.3;3.24;5
11.0;0.72;0.36;0.32;2.2;3.3;6
11.8;0.89;0.62;0.12;1.8;3.38;6
10.1;0.64;0.41;0.31;8.8;3.38;6
11.2;0.8;0.47;0.27;2.3;3.18;5
11.0;0.87;0.22;0.36;1.9;3.47;7
10.2;0.9;0.24;0.33;2.3;3.47;6
9.2;0.59;0.67;0.19;2.2;3.2;4
11.2;0.8;0.47;0.27;2.3;3.18;5
12.0;0.73;0.33;0.38;3.3;3.3;7
10.5;0.73;0.61;0.01;1.9;3.69;5
9.8;0.65;0.61;0.01;2.0;3.48;5
9.5;0.59;0.4;0.29;1.9;3.45;6
9.8;0.65;0.61;0.01;2.0;3.48;5
10.5;0.73;0.61;0.01;1.9;3.69;5
11.8;0.72;0.3;0.38;2.3;3.39;6
11.8;0.72;0.3;0.38;2.3;3.39;6
10.4;0.6;0.63;0.5;1.4;3.07;4
12.9;0.72;0.38;0.38;2.8;3.34;7
11.4;0.54;0.46;0.17;1.6;3.61;5
12.4;0.76;0.33;0.52;2.2;3.36;7
12.5;0.52;0.27;0.49;5.0;3.19;7
10.0;0.64;0.43;0.4;2.6;3.22;7
9.7;0.6;0.5;0.34;2.3;3.24;7
12.1;0.64;0.3;0.49;3.8;3.27;7
11.1;0.79;0.44;0.42;2.0;3.14;7
12.0;0.99;0.44;0.58;4.1;3.29;7
12.4;0.62;0.28;0.48;2.1;3.26;7
11.9;0.76;0.12;0.45;1.8;3.41;7
11.9;0.76;0.12;0.45;1.8;3.41;7
11.9;0.76;0.12;0.45;1.8;3.41;7
12.4;0.62;0.28;0.48;2.1;3.26;7
11.2;0.68;0.31;0.4;2.2;3.31;7
12.1;0.69;0.34;0.48;2.1;3.2;7
12.2;0.54;0.43;0.4;2.7;3.44;6
10.4;0.67;0.21;0.52;1.9;3.36;5
11.3;0.62;0.36;0.52;2.1;3.31;6
11.1;0.58;0.37;0.52;2.0;3.29;6
11.3;0.71;0.57;0.12;2.3;3.47;7
10.0;0.61;0.59;0.05;2.0;3.36;5
11.1;0.85;0.47;0.27;1.9;3.16;6
9.3;0.62;0.56;0.14;1.6;3.27;5
9.5;0.69;0.57;0.02;2.1;3.38;5
11.2;0.69;0.27;0.39;2.0;3.15;6
11.1;0.85;0.47;0.27;1.9;3.16;6
11.0;0.86;0.34;0.4;2.4;3.34;6
11.9;0.58;0.38;0.41;2.4;3.13;7
9.2;0.48;0.66;0.2;2.1;3.13;5
12.2;0.6;0.4;0.43;2.4;3.2;6
10.2;0.61;0.56;0.09;2.9;3.46;5
10.9;0.87;0.26;0.48;1.9;3.33;6
10.9;0.87;0.26;0.48;1.9;3.33;6
11.6;0.65;0.38;0.5;2.4;3.22;7
10.7;0.63;0.34;0.44;1.7;3.52;5
12.1;0.62;0.33;0.41;5.9;3.3;7
9.4;0.52;0.41;0.3;2.1;3.44;5
9.4;0.52;0.41;0.3;2.1;3.44;5
9.1;0.5;0.59;0.29;2.6;3.15;5
11.3;0.49;0.4;0.32;3.6;3.28;7
10.4;0.63;0.45;0.49;1.4;3.13;5
10.5;0.71;0.5;0.3;1.9;3.32;6
10.0;0.62;0.86;0.26;1.9;3.25;5
12.9;0.82;0.52;0.32;2.1;3.34;6
10.5;0.71;0.5;0.3;1.9;3.32;6
10.4;0.63;0.45;0.49;1.4;3.13;5
11.3;0.58;0.58;0.0;2.0;3.45;6
11.4;0.55;0.34;0.39;1.4;3.19;7
9.4;0.5;0.36;0.3;1.6;3.44;5
9.4;0.49;0.39;0.12;1.7;3.16;5
10.9;0.51;0.295;0.4;1.5;3.14;6
9.4;0.49;0.39;0.12;1.7;3.16;5
9.4;0.48;0.34;0.28;2.0;3.45;5
9.4;0.48;0.4;0.1;2.0;3.36;6
9.4;0.48;0.34;0.28;2.0;3.45;5
9.4;0.43;0.35;0.45;2.5;3.15;5
10.1;0.62;0.6;0.06;2.0;3.39;6
12.8;0.63;0.66;0.0;2.2;3.71;7
12.8;0.63;0.66;0.0;2.2;3.71;7
9.1;0.48;0.84;0.34;1.4;3.12;6
12.9;0.53;0.69;0.0;1.65;3.47;6
11.5;0.72;0.43;0.3;2.2;3.44;7
10.6;0.82;0.35;0.38;1.5;3.26;7
11.7;0.84;0.29;0.33;2.05;3.26;7
12.8;0.55;0.36;0.32;1.8;3.36;7
10.3;0.54;0.43;0.29;1.6;3.25;5
12.8;0.55;0.36;0.32;1.8;3.36;7
11.7;0.84;0.29;0.33;2.05;3.26;7
11.7;0.84;0.3;0.34;2.0;3.26;7
12.0;0.7;0.35;0.4;3.6;3.23;7
10.9;0.68;0.5;0.36;2.8;3.18;5
12.3;0.55;0.28;0.45;1.7;3.25;7
10.4;0.55;0.32;0.31;2.0;3.17;6
10.0;0.48;1.005;0.15;2.1;3.23;5
10.0;0.58;0.71;0.0;1.6;3.38;6
11.2;0.58;0.58;0.16;2.0;3.22;6
11.4;0.84;0.39;0.46;2.2;3.06;6
12.6;0.75;0.38;0.4;2.2;3.27;7
12.7;0.44;0.18;0.37;0.9;2.89;6
12.7;0.44;0.18;0.37;0.9;2.89;6
10.4;0.61;0.5;0.14;1.8;3.53;5
11.9;0.53;0.36;0.66;2.4;3.2;6
11.9;0.53;0.36;0.66;2.4;3.2;6
10.5;0.54;0.51;0.09;2.1;3.35;5
12.3;0.55;0.32;0.42;2.3;3.27;6
10.5;0.56;0.58;0.01;1.8;3.32;7
10.4;0.6;0.83;0.0;2.8;3.33;6
12.6;0.56;0.31;0.32;1.9;3.41;6
11.6;0.52;0.795;0.0;2.2;3.49;5
10.1;0.54;0.34;0.21;2.5;3.37;6
10.5;0.56;0.58;0.01;1.8;3.32;7
11.5;0.55;0.59;0.0;2.1;3.42;7
11.0;0.58;0.55;0.01;1.8;3.35;7
9.6;0.53;0.82;0.0;4.1;3.36;5
10.4;0.59;0.57;0.08;2.6;3.3;6
9.7;0.47;0.745;0.18;2.5;3.2;6
10.6;0.65;0.37;0.34;2.4;3.17;7
12.5;0.59;0.31;0.34;2.5;3.22;7
9.2;0.56;0.91;0.1;1.8;3.35;5
12.6;0.77;0.41;0.41;6.2;3.24;7
11.1;0.83;0.5;0.21;2.2;3.33;6
10.2;0.67;0.965;0.0;2.2;3.58;5
9.8;0.64;0.49;0.19;1.7;3.38;6
11.1;0.83;0.5;0.21;2.2;3.33;6
10.9;0.81;0.39;0.41;8.9;3.29;7
12.2;0.62;0.39;0.33;3.3;3.36;6
11.4;0.58;0.44;0.0;1.4;3.32;6
10.7;0.62;0.78;0.0;1.7;3.31;6
10.4;0.64;0.43;0.17;1.8;3.49;5
10.9;0.78;0.49;0.36;1.7;3.27;6
10.8;0.77;0.5;0.36;1.8;3.27;6
10.4;0.64;0.43;0.17;1.8;3.49;5
9.2;1.34;0.46;0.59;1.4;3.03;5
12.9;0.55;0.605;0.05;2.4;3.56;5
12.7;0.77;0.33;0.42;2.3;3.38;7
9.1;0.62;0.64;0.27;2.0;3.13;6
9.1;0.62;0.64;0.27;2.0;3.13;6
12.1;0.59;0.48;0.53;4.0;3.21;7
9.1;0.57;0.42;0.25;3.9;3.15;5
11.6;0.76;0.53;0.57;2.4;3.19;7
12.1;0.59;0.48;0.53;4.0;3.21;7
9.9;0.7;0.23;0.57;1.8;3.14;6
12.5;0.69;0.4;0.5;1.8;3.21;8
11.4;0.64;0.38;0.44;1.9;3.3;6
11.8;0.63;0.29;0.65;2.4;3.22;6
11.8;0.57;0.74;0.09;2.0;3.28;6
10.2;0.6;0.61;0.18;2.4;3.29;6
12.5;0.72;0.52;0.08;2.4;3.4;7
10.9;0.83;0.31;0.53;2.2;3.02;7
10.9;0.83;0.31;0.53;2.2;3.02;7
10.8;0.62;0.62;0.35;2.8;3.31;5
11.1;0.89;0.33;0.45;1.5;3.18;7
9.2;0.58;0.77;0.2;8.1;3.2;5
